src,dst,predictions
7,14,0
19,2,0
15,16,0
14,7,0.005345094
18,19,1.69E-07
5,8,1.69E-07
16,4,0.104544582
13,9,0.104544582
1,15,0.297592516
7,13,0.297592516
11,7,3.01E-16
7,13,3.01E-16
6,19,0.306800677
12,13,0.306800677
0,10,0.496311288
0,17,0.496311288
18,5,0
9,11,0
19,7,2.91E-26
5,6,2.91E-26
9,0,0.133332767
5,12,0.133332767
5,12,0.14742263
1,19,0.14742263
15,14,0.044884826
19,9,0
8,16,0
4,3,0.003275441
19,8,0.356686272
4,0,0.356686272
14,10,0.147620682
7,3,0.147620682
18,7,0
16,13,0
5,17,0
8,5,0
4,8,0.969311893
14,7,0
13,5,0
7,1,0.330002309
9,19,0.330002309
19,17,0.935911834
10,15,0
1,11,0
12,19,2.13E-25
10,18,2.13E-25
9,2,1.61E-23
1,5,1.61E-23
4,13,0.265433453
5,4,0.265433453
2,9,0.571610928
19,14,1.44E-20
18,16,1.44E-20
2,10,0.0934019
16,10,0
10,9,0
2,19,0
1,6,0
10,5,0.119613054
17,3,0.119613054
5,15,6.31E-06
15,10,6.31E-06
18,2,0.140830977
15,9,0.140830977
19,0,0
19,0,0
0,16,0.197587782
16,12,0.197587782
18,18,0.301023887
1,6,0.301023887
6,9,0.956557035
14,13,0
8,13,0
19,17,0
7,13,0
6,15,0.165261663
2,0,0.165261663
14,13,0
3,15,0
10,4,0.008119369
4,0,0
12,4,0
14,13,0.012105175
14,11,0
10,5,0
4,14,0
5,11,0
14,9,0
7,0,0
16,0,0.190781706
7,17,0.190781706
14,2,0
10,16,0
5,1,0.003121911
7,3,0.072643982
14,11,0.714955688
15,9,0.070289789
14,16,0
10,4,0
2,8,0
7,17,0
13,9,1.55E-29
10,17,1.55E-29
7,18,0.454961235
2,16,0.454961235
9,0,0.491870165
8,10,0
7,9,0
14,8,0.433445308
12,7,0.433445308
16,9,0
12,11,0
12,6,8.42E-09
18,5,8.42E-09
14,11,2.05E-32
