tier,defense,scheme,q_attack_frac,tpr_mean,tpr_ci95,inversion_rate,edge_evasion_rate,op_count,cost_vs_T1,complexity,measured_threshold_z,forge,w_m,m
V0,D1_RF,T1_mean,0.5,0.993333,0.006434,0.0,0.0,7,1.0,O(k),2.1638,0.0,,
V0,D1_RF,T2_SL,0.5,0.993333,0.006434,0.0,0.0,20,2.86,O(k),2.1638,0.0,,
V0,D1_RF,T3_Beta,0.5,0.993333,0.006434,0.0,0.0,20,2.86,O(k),2.1638,0.0,,
V0,D1_RF,T5_TFLDT,0.5,0.993333,0.006434,0.0,0.0,20,2.86,O(k + deg),2.1638,0.0,,
V0,D1_RF,T_max,0.5,0.991667,0.007155,0.0,0.0,6,0.86,O(k),2.1638,0.0,,
V0,D1_RF,T_median,0.5,0.863333,0.029504,0.0,0.0,16,2.29,O(k log k),2.1638,0.0,,
V0,D1_RF,T4_EigenTrust,0.5,0.341667,0.056174,0.0,0.0,11400,1628.57,O(iters * E),2.1638,0.0,,
V0,D1_RF,T_meanvar_z,0.5,0.991667,0.007155,0.0,0.0,18,2.57,O(k),2.1638,0.0,,
V0T,D1_RF,T1_mean,0.5,0.993333,0.006434,0.0,0.0,7,1.0,O(k),2.1638,0.0,,
V0T,D1_RF,T2_SL,0.5,0.993333,0.006434,0.0,0.0,20,2.86,O(k),2.1638,0.0,,
V0T,D1_RF,T3_Beta,0.5,0.993333,0.006434,0.0,0.0,20,2.86,O(k),2.1638,0.0,,
V0T,D1_RF,T5_TFLDT,0.5,0.993333,0.006434,0.0,0.0,20,2.86,O(k + deg),2.1638,0.0,,
V0T,D1_RF,T_max,0.5,0.991667,0.007155,0.0,0.0,6,0.86,O(k),2.1638,0.0,,
V0T,D1_RF,T_median,0.5,0.863333,0.029504,0.0,0.0,16,2.29,O(k log k),2.1638,0.0,,
V0T,D1_RF,T4_EigenTrust,0.5,0.341667,0.056174,0.0,0.0,11400,1628.57,O(iters * E),2.1638,0.0,,
V0T,D1_RF,T_meanvar_z,0.5,0.991667,0.007155,0.0,0.0,18,2.57,O(k),2.1638,0.0,,
V1,D1_RF,T1_mean,0.5,0.99,0.007797,0.0,0.0,7,1.0,O(k),2.1638,,0.5,0.2479
V1,D1_RF,T2_SL,0.5,0.99,0.007797,0.0,0.0,20,2.86,O(k),2.1638,,0.5,0.2479
V1,D1_RF,T3_Beta,0.5,0.99,0.007797,0.0,0.0,20,2.86,O(k),2.1638,,0.5,0.2479
V1,D1_RF,T5_TFLDT,0.5,0.981667,0.012192,0.0,0.0,20,2.86,O(k + deg),2.1638,,0.5,0.2479
V1,D1_RF,T_max,0.5,0.978333,0.012846,0.0,0.0,6,0.86,O(k),2.1638,,0.5,0.2479
V1,D1_RF,T_median,0.5,0.976667,0.014697,0.0,0.0,16,2.29,O(k log k),2.1638,,0.5,0.2479
V1,D1_RF,T4_EigenTrust,0.5,0.435,0.056656,0.0,0.0,11400,1628.57,O(iters * E),2.1638,,0.5,0.2479
V1,D1_RF,T_meanvar_z,0.5,0.983333,0.010889,0.0,0.0,18,2.57,O(k),2.1638,,0.5,0.2479
V1T,D1_RF,T1_mean,0.5,1.0,0.0,0.0,0.0,7,1.0,O(k),2.1638,,0.5,0.651
V1T,D1_RF,T2_SL,0.5,1.0,0.0,0.0,0.0,20,2.86,O(k),2.1638,,0.5,0.651
V1T,D1_RF,T3_Beta,0.5,1.0,0.0,0.0,0.0,20,2.86,O(k),2.1638,,0.5,0.651
V1T,D1_RF,T5_TFLDT,0.5,1.0,0.0,0.0,0.0,20,2.86,O(k + deg),2.1638,,0.5,0.651
V1T,D1_RF,T_max,0.5,0.998333,0.003267,0.0,0.0,6,0.86,O(k),2.1638,,0.5,0.651
V1T,D1_RF,T_median,0.5,1.0,0.0,0.0,0.0,16,2.29,O(k log k),2.1638,,0.5,0.651
