scheme,defense,q_attack_frac,tuned_attacker_tpr,tpr_ci95,breakdown_tpr,attacker_strategy,benign_mean,benign_std,threshold_p99,thr_in_tail_std,realized_benign_fpr,op_count,cost_vs_T1,complexity
T_median,D3_RHMD,0.2,0.122,0.032808,0.427667,attack_frac=0.20,0.2001,0.0772,0.3841,2.384,0.01,16,2.29,O(k log k)
T_median,D3_RHMD,0.3,0.122,0.032808,0.427667,attack_frac=0.20,0.2001,0.0772,0.3841,2.384,0.01,16,2.29,O(k log k)
T_median,D3_RHMD,0.4,0.122,0.032808,0.427667,attack_frac=0.20,0.2001,0.0772,0.3841,2.384,0.01,16,2.29,O(k log k)
T_median,D3_RHMD,0.5,0.122,0.032808,0.427667,attack_frac=0.20,0.2001,0.0772,0.3841,2.384,0.01,16,2.29,O(k log k)
T_median,D3_RHMD,0.6,0.122,0.032808,0.427667,attack_frac=0.20,0.2001,0.0772,0.3841,2.384,0.01,16,2.29,O(k log k)
T_median,D3_RHMD,0.7,0.122,0.032808,0.427667,attack_frac=0.20,0.2001,0.0772,0.3841,2.384,0.01,16,2.29,O(k log k)
T_median,D3_RHMD,0.8,0.122,0.032808,0.427667,attack_frac=0.20,0.2001,0.0772,0.3841,2.384,0.01,16,2.29,O(k log k)
T4_EigenTrust,D3_RHMD,0.2,0.103333,0.031756,,forge=0.00,-0.0498,0.017,-0.0167,1.952,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D3_RHMD,0.3,0.135,0.038762,,forge=0.00,-0.0498,0.017,-0.0167,1.952,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D3_RHMD,0.4,0.18,0.042978,,forge=0.00,-0.0498,0.017,-0.0167,1.952,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D3_RHMD,0.5,0.248333,0.050328,,forge=0.00,-0.0498,0.017,-0.0167,1.952,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D3_RHMD,0.6,0.283333,0.049683,,forge=0.00,-0.0498,0.017,-0.0167,1.952,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D3_RHMD,0.7,0.398333,0.052508,,forge=0.00,-0.0498,0.017,-0.0167,1.952,0.01,11400,1628.57,O(iters * E)
T4_EigenTrust,D3_RHMD,0.8,0.47,0.056367,,forge=0.00,-0.0498,0.017,-0.0167,1.952,0.01,11400,1628.57,O(iters * E)
T_meanvar_z,D3_RHMD,0.2,0.778333,0.043072,,"w_m=0.80,m=0.31",0.3771,0.8473,2.5523,2.567,0.01,18,2.57,O(k)
T_meanvar_z,D3_RHMD,0.3,0.911667,0.027647,,"w_m=0.70,m=0.31",0.3771,0.8473,2.5523,2.567,0.01,18,2.57,O(k)
T_meanvar_z,D3_RHMD,0.4,0.94,0.019981,,"w_m=0.60,m=0.30",0.3771,0.8473,2.5523,2.567,0.01,18,2.57,O(k)
T_meanvar_z,D3_RHMD,0.5,0.961667,0.016647,,"w_m=0.50,m=0.28",0.3771,0.8473,2.5523,2.567,0.01,18,2.57,O(k)
T_meanvar_z,D3_RHMD,0.6,0.975,0.013437,,"w_m=0.40,m=0.23",0.3771,0.8473,2.5523,2.567,0.01,18,2.57,O(k)
T_meanvar_z,D3_RHMD,0.7,0.99,0.007797,,"w_m=0.30,m=0.16",0.3771,0.8473,2.5523,2.567,0.01,18,2.57,O(k)
T_meanvar_z,D3_RHMD,0.8,0.995,0.005601,,"w_m=0.19,m=0.02",0.3771,0.8473,2.5523,2.567,0.01,18,2.57,O(k)
T1_mean,D4_MTD,0.2,0.737667,0.05139,,forge=0.00,0.099,0.0493,0.2328,2.711,0.01,7,1.0,O(k)
T1_mean,D4_MTD,0.3,0.973333,0.016559,,forge=0.00,0.099,0.0493,0.2328,2.711,0.01,7,1.0,O(k)
T1_mean,D4_MTD,0.4,0.991667,0.007155,,forge=0.00,0.099,0.0493,0.2328,2.711,0.01,7,1.0,O(k)
T1_mean,D4_MTD,0.5,0.993333,0.006434,,forge=0.00,0.099,0.0493,0.2328,2.711,0.01,7,1.0,O(k)
T1_mean,D4_MTD,0.6,1.0,0.0,,forge=0.00,0.099,0.0493,0.2328,2.711,0.01,7,1.0,O(k)
T1_mean,D4_MTD,0.7,1.0,0.0,,forge=0.00,0.099,0.0493,0.2328,2.711,0.01,7,1.0,O(k)
T1_mean,D4_MTD,0.8,1.0,0.0,,forge=0.00,0.099,0.0493,0.2328,2.711,0.01,7,1.0,O(k)
T2_SL,D4_MTD,0.2,0.737667,0.05139,,forge=0.00,0.1659,0.0411,0.2773,2.711,0.01,20,2.86,O(k)
T2_SL,D4_MTD,0.3,0.973333,0.016559,,forge=0.00,0.1659,0.0411,0.2773,2.711,0.01,20,2.86,O(k)
T2_SL,D4_MTD,0.4,0.991667,0.007155,,forge=0.00,0.1659,0.0411,0.2773,2.711,0.01,20,2.86,O(k)
T2_SL,D4_MTD,0.5,0.993333,0.006434,,forge=0.00,0.1659,0.0411,0.2773,2.711,0.01,20,2.86,O(k)
T2_SL,D4_MTD,0.6,1.0,0.0,,forge=0.00,0.1659,0.0411,0.2773,2.711,0.01,20,2.86,O(k)
T2_SL,D4_MTD,0.7,1.0,0.0,,forge=0.00,0.1659,0.0411,0.2773,2.711,0.01,20,2.86,O(k)
T2_SL,D4_MTD,0.8,1.0,0.0,,forge=0.00,0.1659,0.0411,0.2773,2.711,0.01,20,2.86,O(k)
T3_Beta,D4_MTD,0.2,0.737667,0.05139,,forge=0.00,0.1659,0.0411,0.2773,2.711,0.01,20,2.86,O(k)
T3_Beta,D4_MTD,0.3,0.973333,0.016559,,forge=0.00,0.1659,0.0411,0.2773,2.711,0.01,20,2.86,O(k)
T3_Beta,D4_MTD,0.4,0.991667,0.007155,,forge=0.00,0.1659,0.0411,0.2773,2.711,0.01,20,2.86,O(k)
T3_Beta,D4_MTD,0.5,0.993333,0.006434,,forge=0.00,0.1659,0.0411,0.2773,2.711,0.01,20,2.86,O(k)
T3_Beta,D4_MTD,0.6,1.0,0.0,,forge=0.00,0.1659,0.0411,0.2773,2.711,0.01,20,2.86,O(k)
